"FolderPath","FolderType","ItemsInFolder","FolderSize"
"/Admin/Admin/Research - forms","User Created","43","26.48 MB (27,762,963 bytes)"
"/Admin/Admin/Retirement","User Created","16","5.24 MB (5,494,990 bytes)"
"/Admin/Admin/ZZ Lee Hayes","User Created","190","34 MB (35,647,461 bytes)"
"/Admin/Admin/ZZ Lee Hayes/CLE- Lic- LH","User Created","245","49.74 MB (52,159,748 bytes)"
"/Admin/Admin/ZZ Lee Hayes/comp","User Created","55","4.836 MB (5,071,205 bytes)"
"/Admin/Admin/ZZ Lee Hayes/CPG","User Created","15","735.1 KB (752,775 bytes)"
"/Admin/Admin/ZZ Lee Hayes/CPG (2)","User Created","0","0 B (0 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Experts","User Created","6","4.254 MB (4,460,723 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Lee Hayes bills","User Created","17","3.042 MB (3,189,919 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Lee Hayes comp","User Created","373","67.78 MB (71,068,880 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Lee Hayes Month report","User Created","142","28.71 MB (30,100,931 bytes)"
"/Admin/Admin/ZZ Lee Hayes/LH Bills","User Created","16","3.035 MB (3,181,915 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Log In","User Created","1","76.5 KB (78,340 bytes)"
"/Admin/Admin/ZZ Lee Hayes/LPG","User Created","945","116.5 MB (122,177,538 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Partner Material","User Created","120","95.99 MB (100,651,283 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Partner Material/Ownership","User Created","40","11.42 MB (11,971,174 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Partner Material (2)","User Created","3","439.6 KB (450,139 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Partner Material (2)/Ownership","User Created","1","7.222 KB (7,395 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Retirement Plan","User Created","12","820.2 KB (839,933 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Retirement Plan (2)","User Created","14","3.993 MB (4,187,193 bytes)"
"/Admin/Admin/ZZ Lee Hayes/RH","User Created","3","5.823 MB (6,105,362 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Risk Mang","User Created","1","11.24 KB (11,510 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Risk Mang (2)","User Created","36","5.109 MB (5,357,377 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Summit","User Created","17","8.333 MB (8,737,739 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Transition","User Created","108","20.82 MB (21,833,290 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Transition/LH- WBM","User Created","122","20.45 MB (21,443,805 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Transition (2)","User Created","1","7.168 KB (7,340 bytes)"
"/Admin/Admin/ZZ Lee Hayes/Transition (2)/LH- WBM","User Created","188","37.58 MB (39,409,386 bytes)"
"/Admin/Conf call and zoom","User Created","3","328.5 KB (336,435 bytes)"
"/Admin/Insurance WBM","User Created","63","98.56 MB (103,352,325 bytes)"
"/Admin/Insurance WBM/Claim","User Created","20","11.6 MB (12,163,092 bytes)"
"/Admin/Insurance WBM/Insurance?FSA etc -LH","User Created","45","33.42 MB (35,044,817 bytes)"
"/Admin/Insurance WBM/Insurance?FSA etc -LH/Claim","User Created","10","5.798 MB (6,079,763 bytes)"
"/Admin/Owner Comm","User Created","14","7.749 MB (8,125,896 bytes)"
"/Admin/State Farm","User Created","2","8.291 MB (8,694,169 bytes)"
"/AGS Class Action","User Created","2","255.7 KB (261,797 bytes)"
"/AGS Class Action/Client","User Created","18","3.343 MB (3,505,170 bytes)"
"/AGS Class Action/Damages","User Created","2","2.318 MB (2,430,353 bytes)"
"/AGS Class Action/Deps","User Created","0","0 B (0 bytes)"
"/AGS Class Action/Deps/AGS - 30b6","User Created","7","552.4 KB (565,700 bytes)"
"/AGS Class Action/Deps/Plaintyiffs","User Created","3","53.58 MB (56,177,929 bytes)"
"/AGS Class Action/Docs","User Created","12","92.85 MB (97,363,092 bytes)"
"/AGS Class Action/Internal","User Created","391","71.38 MB (74,842,330 bytes)"
"/AGS Class Action/Opposing","User Created","6","714.8 KB (731,941 bytes)"
"/AGS Class Action/PLeadings and Discovery","User Created","105","26.04 MB (27,304,132 bytes)"
"/AGS Class Action/Research","User Created","53","29.53 MB (30,964,962 bytes)"
"/ALSCO","User Created","6","313.5 KB (321,020 bytes)"
"/ALSCO/adv Andritz Hydro Co","User Created","5","524.9 KB (537,524 bytes)"
"/ALSCO/adv Arturo","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv Greenbriar Food","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv Irwin Pharm Breach","User Created","26","7.494 MB (7,857,757 bytes)"
"/ALSCO/adv Nez Perce","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv Qwik Stop","User Created","12","3.251 MB (3,409,174 bytes)"
"/ALSCO/adv Rants & Raves","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv Sushi Saki","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv TX Roadhouse","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv UniFirst Corp 23 LIT","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/adv Wendys","User Created","0","0 B (0 bytes)"
"/ALSCO/Automated Accounts","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/CBHA","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/CBHA/Discovery","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/CBHA/Discovery/Production","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/CBHA/Pleadings","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/CBHA/Pleadings/SOP","User Created","1","1.234 KB (1,264 bytes)"
"/ALSCO/Freedom Truck","User Created","1","1.234 KB (1,264 bytes)"
