"FolderPath","IdentityReference","FileSystemRights","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags"
"C:\Temp\Scripts\Domain\Copy-ADUser","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Copy-ADUser","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Domain\Copy-ADUser","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Domain\Create-ADUser","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Create-ADUser","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Create-ADUser","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Create-ADUser","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Domain\Create-ADUser","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Domain\Remove-GroupsFromDisabledUsers","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Remove-GroupsFromDisabledUsers","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Remove-GroupsFromDisabledUsers","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Domain\Remove-GroupsFromDisabledUsers","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Domain\Remove-GroupsFromDisabledUsers","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Add-FoldersToPath","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Add-FoldersToPath","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Add-FoldersToPath","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Add-FoldersToPath","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
